company_id,industry_sector,listing_status,credit_rating_band,audit_going_concern_flag,years_in_operation,num_employees,debt_to_equity_ratio,current_ratio,interest_coverage_ratio,revenue_growth_pct,net_profit_margin_pct,working_capital_to_assets_ratio,macroeconomic_interest_rate_pct,distress_risk_category
227,Retail,Private,Investment Grade,,9.0,112,0.89,1.54,2.37,7.69,5.201824185073845,0.062,13.9,Healthy
228,Construction,Private,Investment Grade,,18.2,197,1.59,0.1,-5.98,0.93,5.0386655157463744,-0.153,13.07,Watch
229,Technology,Private,Speculative,,5.4,220,1.37,1.78,1.35,-13.9,3.9627822062209606,0.09,11.4,Healthy
230,Retail,Private,High Risk,,10.2,80,1.33,1.76,11.05,4.02,6.178910989841044,0.076,11.1,Healthy
231,Construction,Private,Investment Grade,,15.3,351,3.55,1.23,6.59,7.34,17.644554683993988,0.09,13.91,Watch
232,Technology,Private,Investment Grade,,11.5,43,1.26,2.21,13.88,3.91,-1.9098277457546793,0.367,8.87,Healthy
233,Retail,Private,High Risk,,4.7,548,1.94,1.43,7.2,0.23,4.988977803329539,0.083,14.68,Watch
234,Retail,Public,Investment Grade,No,5.4,114,0.56,0.4,2.52,-3.91,5.086274313295296,-0.043,12.1,Healthy
235,Manufacturing,Public,Speculative,No,9.8,434,1.93,1.1,4.93,-9.28,-3.9564014789426682,-0.007,15.52,Watch
236,Manufacturing,Private,Investment Grade,,11.6,261,0.99,2.27,0.38,1.37,-6.922774446828731,0.205,12.71,Healthy
237,Manufacturing,Public,Speculative,Yes,13.8,76,1.16,1.93,5.93,23.74,10.694903779153881,0.102,11.38,Healthy
238,Manufacturing,Private,Speculative,,36.0,195,0.68,1.13,-3.63,10.04,0.7759617442788178,0.039,14.52,Healthy
239,Construction,Private,Investment Grade,,8.3,284,3.49,1.2,-2.74,4.49,15.726357777833991,0.056,11.6,Healthy
240,Retail,Private,Speculative,,16.8,261,1.52,1.19,-0.05,1.74,2.2691601168782256,0.01,17.63,Healthy
241,Retail,Public,High Risk,No,5.0,235,1.96,1.55,1.41,-4.46,1.1535162281351043,0.115,12.5,Distressed
242,Manufacturing,Private,Investment Grade,,38.0,214,0.75,1.08,3.2,-1.28,4.677921614875065,-0.034,15.21,Healthy
243,Technology,Private,Investment Grade,,11.5,122,2.22,1.73,10.57,-7.35,3.843827773652314,0.028,15.44,Healthy
244,Manufacturing,Private,Investment Grade,,8.9,327,1.56,1.74,4.1,11.43,1.755661909743865,0.119,13.18,Healthy
245,Manufacturing,Public,Investment Grade,No,5.9,142,0.84,2.05,-0.88,8.01,3.0066230634791844,0.318,11.59,Healthy
246,Technology,Public,Speculative,Yes,16.4,500,1.01,1.14,-4.12,3.24,10.031359462724538,0.016,11.76,Watch
247,Manufacturing,Private,Investment Grade,,7.2,255,2.24,1.32,16.6,8.9,12.251039230337689,0.008,11.09,Healthy
248,Manufacturing,Private,Investment Grade,,7.9,284,1.11,1.96,2.27,-8.47,-1.6845213821481693,0.138,13.5,Healthy
249,Retail,Public,Investment Grade,No,8.1,59,1.6,1.07,5.48,-10.0,16.371461245254693,-0.005,15.24,Healthy
250,Energy,Private,Speculative,,16.0,433,1.25,2.02,-1.8,11.67,26.432234676358956,0.097,14.53,Healthy
251,Manufacturing,Private,Investment Grade,,8.5,290,0.41,1.95,3.06,-1.38,13.320170356054822,0.212,12.73,Healthy
252,Retail,Public,Speculative,Yes,5.3,295,3.07,0.62,4.68,-1.22,12.092430755679892,-0.008,13.14,Distressed
253,Retail,Private,Speculative,,9.5,605,1.06,1.69,4.18,1.2,6.368757426094814,0.087,16.51,Healthy
254,Manufacturing,Private,Investment Grade,,13.2,91,2.23,1.52,0.02,3.51,3.9378061491079372,0.155,13.8,Watch
255,Technology,Private,Investment Grade,,7.8,466,2.59,2.21,1.71,13.13,17.471565421653896,0.118,10.05,Healthy
256,Technology,Public,Speculative,Yes,28.5,133,0.97,1.95,10.31,17.2,-12.132288377875668,0.129,13.46,Healthy
257,Energy,Public,High Risk,No,8.0,122,2.25,1.47,9.85,-3.94,-6.860672247007031,0.016,12.13,Distressed
258,Manufacturing,Private,Investment Grade,,10.7,217,2.24,1.98,12.83,6.15,7.736361241170307,0.12,13.15,Healthy
259,Retail,Private,Speculative,,5.4,223,3.24,2.89,0.62,6.93,6.4732858104104745,0.335,11.81,Healthy
260,Energy,Private,Investment Grade,,2.0,247,2.0,2.42,3.39,-2.32,-14.41599337649562,0.315,16.6,Distressed
261,Retail,Private,Speculative,,24.8,82,0.82,1.01,5.48,-12.17,4.946121364475808,0.026,7.92,Distressed
262,Manufacturing,Private,Speculative,,0.9,51,0.59,3.5,4.14,10.35,,0.384,15.26,Healthy
263,Energy,Private,Investment Grade,,5.2,842,0.25,1.8,2.74,12.76,-8.706932503563694,0.097,17.41,Healthy
264,Energy,Private,Investment Grade,,8.8,327,0.11,2.24,6.22,1.11,3.1777092752852822,0.258,12.31,Healthy
265,Manufacturing,Private,Speculative,,20.4,240,2.9,1.77,0.82,-1.17,16.54936512742697,0.154,11.35,Watch
266,Manufacturing,Private,Speculative,,16.4,340,0.21,2.9,4.26,-6.54,16.879973483967014,0.278,13.19,Healthy
267,Technology,Private,High Risk,,8.3,431,0.6,1.53,-0.02,-3.81,19.207184751942247,0.039,11.63,Healthy
268,Manufacturing,Private,Investment Grade,,4.7,191,3.51,0.39,-3.47,1.53,-5.3542829832621415,-0.112,15.66,Watch
269,Energy,Public,Speculative,No,10.9,271,1.79,0.91,-7.78,5.96,6.594808978698743,-0.021,12.64,Distressed
270,Manufacturing,Public,High Risk,No,14.3,316,1.72,1.68,7.01,-0.42,-2.243381859436413,0.08,13.66,Healthy
271,Energy,Private,Speculative,,8.0,134,0.74,1.62,3.93,7.17,1.1228014169823313,0.101,14.44,Distressed
272,Manufacturing,Private,Investment Grade,,12.1,171,0.75,2.18,6.27,11.09,-1.0929289249458156,0.118,16.76,Healthy
273,Energy,Public,Speculative,No,23.9,248,3.14,1.41,6.58,9.05,4.491255193926981,0.03,13.09,Healthy
274,Manufacturing,Private,High Risk,,6.8,143,0.56,2.25,11.66,12.87,10.645336132989588,0.298,14.24,Healthy
275,Retail,Private,Speculative,,21.5,152,0.77,1.77,7.75,6.49,16.026145899805122,0.153,15.27,Healthy
276,Manufacturing,Private,Speculative,,34.4,349,1.27,2.1,6.63,12.13,-1.3266041783697267,0.231,9.67,Healthy
277,Technology,Private,Investment Grade,,21.2,283,0.83,0.1,7.39,-0.03,8.39523211540965,-0.16,13.82,Healthy
278,Technology,Private,Investment Grade,,12.5,575,0.51,1.22,3.99,2.0,11.439531556080613,0.035,13.2,Healthy
279,Energy,Private,Speculative,,2.4,154,0.85,1.76,10.99,2.8,20.87441764290758,0.134,11.61,Watch
280,Retail,Private,Investment Grade,,12.2,420,4.26,2.02,5.22,4.78,6.681438088493089,0.258,8.62,Healthy
281,Technology,Private,Speculative,,10.2,168,0.64,0.35,7.01,4.3,16.301578111143876,-0.091,15.33,Healthy
282,Energy,Private,High Risk,,14.0,123,2.13,0.96,7.13,-10.23,8.592490427847082,-0.048,15.51,Healthy
283,Construction,Public,Investment Grade,No,11.3,229,0.44,1.39,-0.22,1.49,14.191526173375536,0.058,20.74,Healthy
284,Energy,Private,Investment Grade,,3.7,425,1.84,0.47,4.61,3.09,-3.016775502963208,-0.135,12.46,Watch
285,Energy,Private,Speculative,,19.7,283,0.67,2.51,8.71,8.04,9.686739539688102,0.18,14.58,Healthy
286,Retail,Private,Speculative,,12.0,645,0.87,1.68,2.95,-8.27,6.59558705362845,0.119,16.36,Distressed
287,Manufacturing,Public,Investment Grade,No,1.4,379,0.24,0.75,5.39,-1.62,2.509676433412893,-0.059,14.28,Watch
288,Manufacturing,Public,High Risk,No,21.7,29,4.09,2.9,2.79,14.15,3.0279445689523943,0.264,13.81,Healthy
289,Energy,Private,High Risk,,11.9,143,0.67,0.56,-9.17,-4.26,,-0.046,13.77,Distressed
290,Construction,Private,Speculative,,10.1,341,0.38,1.42,-1.91,9.27,1.981579498071186,0.074,13.66,Healthy
291,Manufacturing,Public,Speculative,No,3.5,148,0.79,0.66,9.54,29.18,2.8380588190970006,-0.139,14.37,Healthy
292,Manufacturing,Private,Investment Grade,,5.5,275,0.58,1.2,9.02,-16.57,11.647147043498197,0.021,14.03,Healthy
293,Energy,Private,High Risk,,35.5,227,2.39,1.06,15.43,7.8,22.019529741423202,0.045,9.33,Healthy
294,Technology,Private,Investment Grade,,2.1,470,1.65,1.17,1.57,-1.53,-6.586044265210424,0.022,15.53,Watch
295,Manufacturing,Private,Investment Grade,,14.1,132,0.22,1.48,9.45,7.36,9.846641734380498,0.046,13.53,Healthy
296,Manufacturing,Private,High Risk,,13.8,114,3.07,2.27,12.28,-5.26,-2.648998737021179,0.27,15.23,Distressed
297,Technology,Private,Investment Grade,,13.3,56,0.99,2.06,7.97,-9.08,11.401951768535444,0.235,11.94,Healthy
298,Technology,Private,Speculative,,5.0,448,0.57,1.7,12.33,-3.63,24.304793444570034,0.13,8.48,Healthy
299,Retail,Private,Investment Grade,,2.8,478,1.12,0.56,6.3,21.49,11.07013343725728,-0.038,14.17,Healthy
300,Manufacturing,Public,High Risk,No,14.7,336,1.42,1.76,5.53,9.14,-7.690029796973169,0.175,10.75,Healthy
301,Manufacturing,Private,Investment Grade,,6.9,343,1.41,2.51,7.06,1.73,0.686065003962562,0.4,14.07,Healthy
302,Manufacturing,Public,Speculative,No,11.7,226,1.9,2.35,1.57,0.06,11.11388455439902,0.272,12.89,Healthy
303,Technology,Private,Speculative,,14.0,20,0.09,2.27,4.69,1.73,11.487015352176513,0.237,15.7,Watch
304,Retail,Public,Investment Grade,No,9.4,579,0.32,2.44,-0.71,14.66,17.4181944345562,0.182,16.11,Healthy
305,Technology,Public,High Risk,No,0.5,572,1.96,1.5,8.47,6.04,4.367760096632047,0.064,14.88,Healthy
306,Construction,Private,Investment Grade,,7.8,65,0.77,1.76,0.01,11.49,14.801854031451464,0.194,14.78,Healthy
307,Technology,Public,Investment Grade,No,27.0,404,1.05,2.47,10.58,5.55,3.315067575741501,0.082,15.43,Healthy
308,Retail,Private,High Risk,,9.3,407,0.71,0.44,4.67,-3.38,2.17330205374913,-0.115,14.9,Watch
309,Energy,Public,Speculative,No,10.5,64,5.37,1.43,7.94,10.39,-1.1326166212733746,0.039,15.22,Distressed
310,Construction,Private,Investment Grade,,12.2,354,1.94,1.96,0.6,13.42,-3.2104225038230094,0.238,14.14,Healthy
311,Construction,Private,Speculative,,8.9,171,1.82,1.15,6.11,11.81,14.536888261162199,0.024,13.75,Healthy
312,Retail,Private,Speculative,,2.0,255,0.54,0.75,-0.38,3.69,7.123488103527102,-0.044,13.27,Watch
313,Technology,Public,Investment Grade,No,4.7,263,3.28,2.14,3.19,1.15,9.37109425167204,0.195,13.99,Healthy
314,Energy,Private,Speculative,,3.7,1016,0.55,2.63,9.62,12.89,,0.392,14.3,Healthy
315,Technology,Private,Speculative,,40.6,230,2.2,1.93,12.74,5.41,2.7738339360776365,0.176,13.94,Healthy
316,Manufacturing,Private,Investment Grade,,18.8,241,0.24,0.68,7.0,-1.77,-9.622078596301215,-0.056,14.61,Healthy
317,Manufacturing,Public,Investment Grade,No,17.3,157,0.31,1.42,15.53,13.8,-10.555937882156687,0.054,11.32,Watch
318,Construction,Public,Speculative,No,26.2,264,1.32,1.3,7.9,6.43,14.070368032617342,-0.008,14.03,Healthy
319,Technology,Public,Speculative,No,13.9,204,0.46,1.78,3.01,8.09,11.3470099345794,0.092,14.45,Healthy
320,Technology,Private,Speculative,,4.0,402,0.94,1.36,6.55,0.07,2.1873509988489044,0.037,14.33,Healthy
321,Construction,Public,Investment Grade,No,20.5,349,1.78,0.9,6.02,1.34,-3.4878392162324268,-0.065,13.23,Healthy
322,Technology,Public,Investment Grade,No,5.0,296,1.54,1.45,6.34,-5.08,1.0678456253526498,0.073,13.8,Healthy
323,Technology,Private,Speculative,,18.7,640,0.76,1.26,11.41,-4.98,,0.038,13.83,Healthy
324,Construction,Private,Investment Grade,,29.0,326,1.06,1.84,4.65,17.04,20.555206387125523,0.071,14.74,Healthy
325,Manufacturing,Public,Speculative,Yes,10.9,21,0.97,0.1,-2.15,6.93,23.423704440161565,-0.234,13.08,Distressed
326,Energy,Public,Investment Grade,No,11.1,109,2.72,2.06,-1.5,4.19,12.043302718751946,0.166,11.7,Healthy
327,Manufacturing,Private,Speculative,,4.4,167,2.69,2.33,8.94,-8.44,,0.259,14.11,Healthy
328,Energy,Private,Speculative,,26.7,643,0.91,1.35,6.52,6.99,15.866848427029447,0.086,16.31,Healthy
329,Technology,Private,Speculative,,17.9,168,2.96,0.88,8.68,9.49,8.743351540398422,-0.037,14.95,Watch
330,Construction,Private,Investment Grade,,10.0,116,2.83,1.63,10.57,14.85,-4.539904765980916,0.083,15.03,Healthy
331,Retail,Private,Investment Grade,,13.6,254,1.71,1.15,-3.69,3.85,12.774339634933167,-0.035,9.76,Healthy
332,Technology,Private,Speculative,,2.8,273,2.72,1.64,6.74,3.96,5.446486983044294,0.085,17.46,Healthy
333,Retail,Private,Investment Grade,,44.2,44,0.61,1.22,9.04,12.09,-0.12562596226481837,0.069,11.02,Healthy
334,Retail,Private,High Risk,,3.6,646,0.85,1.3,7.75,-1.19,10.614871912081393,0.04,12.6,Watch
335,Construction,Private,Speculative,,6.1,62,3.54,1.6,7.05,6.88,10.411689581172464,0.097,12.95,Watch
336,Technology,Public,Speculative,No,3.4,789,0.57,1.68,9.11,-3.01,,0.077,13.24,Healthy
337,Retail,Private,Speculative,,24.8,126,1.86,0.52,2.11,19.96,-3.4861481378043457,-0.069,14.98,Healthy
338,Construction,Public,Investment Grade,No,8.0,153,1.56,1.87,9.79,-3.64,13.20944488217442,0.098,14.45,Healthy
339,Retail,Private,High Risk,,5.7,401,0.28,2.29,13.39,16.15,8.043987925246245,0.174,15.16,Healthy
340,Retail,Private,Investment Grade,,6.1,1224,0.98,1.59,11.79,-5.8,-3.736178559785179,0.105,14.2,Healthy
341,Manufacturing,Private,Speculative,,27.7,218,1.11,2.05,-1.11,-20.52,3.3459649910143825,0.216,15.39,Watch
342,Retail,Private,Investment Grade,,11.5,742,1.82,1.88,5.88,6.93,14.110041223540929,0.103,11.65,Healthy
343,Construction,Private,High Risk,,15.3,114,0.72,0.52,0.1,7.25,6.445742336600156,-0.107,14.12,Healthy
344,Technology,Public,Speculative,No,6.4,314,1.0,1.11,8.47,0.04,22.318356602298905,-0.009,15.77,Healthy
345,Manufacturing,Public,Speculative,No,22.8,431,1.06,1.64,3.95,1.59,-0.5804777255009839,0.102,12.68,Healthy
346,Retail,Public,High Risk,No,6.4,476,2.5,1.62,12.19,7.08,21.86029104239889,0.124,13.9,Watch
347,Technology,Public,Investment Grade,No,4.2,406,2.36,1.41,-4.27,-3.13,5.549114867028805,0.057,13.36,Healthy
348,Technology,Private,Investment Grade,,9.7,502,1.32,2.59,13.94,6.11,-12.682287600544903,0.237,12.58,Healthy
349,Energy,Private,High Risk,,17.4,461,1.8,1.47,-1.83,11.93,-3.8392255722434765,0.032,10.56,Distressed
350,Retail,Private,Investment Grade,,14.2,329,1.02,2.61,-1.3,19.94,4.664291540470606,0.461,12.82,Healthy
351,Energy,Private,Investment Grade,,15.6,572,1.91,0.99,3.0,5.06,-4.254707696654101,0.012,13.81,Watch
352,Construction,Private,Investment Grade,,11.2,266,0.8,1.66,14.54,-9.11,6.468725595950933,0.129,12.97,Healthy
353,Construction,Private,High Risk,,1.6,211,0.74,1.39,9.09,19.98,15.064506609283022,0.053,15.63,Healthy
354,Manufacturing,Public,Investment Grade,Yes,9.9,551,3.67,1.78,12.9,-0.22,5.687487403981489,0.189,14.81,Healthy
355,Construction,Private,Investment Grade,,1.1,207,0.75,2.68,8.12,9.65,7.476664948327713,0.31,15.59,Distressed
356,Construction,Private,Investment Grade,,7.5,552,0.59,2.75,1.11,-4.87,-5.569007328050596,0.284,13.35,Healthy
357,Technology,Private,High Risk,,24.2,112,0.59,1.21,9.8,5.89,9.880597967756747,0.05,13.4,Healthy
358,Manufacturing,Public,Investment Grade,No,5.1,215,3.02,1.88,4.84,-2.08,10.221128565360143,0.186,15.25,Watch
359,Retail,Private,Investment Grade,,10.9,85,0.73,0.48,9.23,13.75,10.37864402938575,-0.116,14.24,Healthy
360,Retail,Public,High Risk,No,7.3,110,1.38,2.99,-3.37,4.64,0.7568044425111378,0.423,13.26,Healthy
361,Technology,Public,Speculative,No,4.4,107,1.67,1.74,3.4,13.96,-19.06275136267116,0.201,10.87,Watch
362,Technology,Private,Investment Grade,,1.6,206,2.7,0.86,-0.05,-10.47,12.8240708556723,-0.039,11.76,Healthy
363,Retail,Public,Speculative,No,11.6,277,3.62,2.42,11.5,8.06,-11.385828335192368,0.351,11.4,Distressed
364,Construction,Private,Speculative,,14.3,242,3.12,0.97,-3.99,-11.99,14.700315630772742,-0.014,9.35,Distressed
365,Manufacturing,Private,Speculative,,4.1,412,3.99,1.77,7.14,5.37,15.102745525382458,0.147,15.37,Healthy
366,Manufacturing,Private,Speculative,,23.8,316,0.93,1.33,7.59,12.77,2.5744721218551265,0.033,16.65,Healthy
367,Technology,Private,Investment Grade,,12.1,344,1.24,1.03,9.06,-9.1,7.516462649299156,0.04,12.16,Distressed
368,Technology,Public,Investment Grade,No,4.2,90,0.95,1.75,13.8,5.26,6.100442263165403,0.11,15.54,Healthy
369,Manufacturing,Private,Investment Grade,,6.3,895,2.61,2.01,1.17,-4.03,-13.061486584295867,0.232,15.71,Healthy
370,Technology,Public,High Risk,No,6.1,472,3.03,0.99,5.1,-0.37,6.577674794958572,-0.028,14.32,Distressed
371,Energy,Private,Investment Grade,,4.2,465,2.48,1.83,6.16,20.04,11.697799807134203,0.149,14.2,Healthy
372,Construction,Private,Investment Grade,,11.0,272,1.01,1.53,-7.82,7.33,-4.304470934513951,0.052,14.0,Healthy
373,Retail,Private,High Risk,,16.9,331,0.16,2.0,5.21,-16.83,12.236030382440184,0.175,17.15,Healthy
374,Technology,Private,High Risk,,20.6,90,0.86,1.22,10.07,-13.99,13.594642836644045,0.042,14.95,Healthy
375,Energy,Private,Investment Grade,,3.7,686,1.03,2.46,6.62,1.08,,0.225,11.94,Healthy
376,Retail,Public,Investment Grade,No,13.4,213,2.53,2.29,7.48,6.16,18.47271733061348,0.246,15.43,Healthy
377,Energy,Private,Investment Grade,,5.8,447,0.8,1.19,2.5,3.44,19.591392245983812,0.003,12.44,Healthy
378,Technology,Private,Investment Grade,,5.6,358,0.94,1.71,0.7,-9.53,2.3567448217082427,0.104,11.53,Watch
379,Manufacturing,Private,Speculative,,23.5,224,0.59,2.27,7.59,10.72,19.2916582318997,0.198,15.38,Healthy
380,Retail,Public,Speculative,No,15.0,502,1.32,0.92,-3.82,20.58,3.8277389867424976,-0.035,13.02,Healthy
381,Manufacturing,Public,Investment Grade,No,4.2,188,1.01,1.14,2.86,5.34,7.342330558439344,0.065,10.94,Healthy
382,Manufacturing,Private,Speculative,,12.9,62,1.55,1.75,15.25,15.69,1.23897612513204,0.132,16.14,Healthy
383,Retail,Private,Investment Grade,,4.6,283,1.48,1.54,2.56,15.33,,0.081,13.6,Healthy
384,Manufacturing,Private,Investment Grade,,7.6,96,0.6,1.88,13.34,18.61,7.961505501021896,0.106,13.32,Healthy
385,Construction,Public,Speculative,No,6.5,61,0.62,2.5,3.51,21.42,16.13458186294457,0.263,18.46,Healthy
386,Manufacturing,Private,Speculative,,13.6,316,1.0,2.61,2.92,3.99,,0.313,8.32,Healthy
387,Manufacturing,Public,Investment Grade,No,5.1,120,1.34,0.28,0.17,3.16,6.42011868270937,-0.09,16.09,Healthy
388,Energy,Private,Investment Grade,,20.9,247,0.3,1.43,11.65,-5.69,17.141810017186003,0.023,12.64,Healthy
389,Construction,Private,Investment Grade,,9.8,126,1.93,2.37,12.38,1.88,6.736658870415425,0.249,12.72,Healthy
390,Construction,Private,Investment Grade,,11.1,252,0.88,0.1,8.36,4.34,11.246467378928328,-0.15,10.27,Healthy
391,Construction,Public,High Risk,No,7.4,76,0.95,0.6,11.85,-13.43,12.785106994758465,-0.09,12.4,Watch
392,Manufacturing,Private,Investment Grade,,9.6,110,2.74,3.6,4.14,14.73,3.4771225022110466,0.6,13.26,Healthy
393,Technology,Private,Investment Grade,,6.2,558,0.79,2.61,9.87,-1.05,15.772342049714354,0.298,12.71,Healthy
394,Energy,Public,Speculative,No,31.5,596,0.68,1.61,6.72,7.94,13.11637631619298,0.058,13.46,Healthy
395,Energy,Private,Speculative,,19.3,120,1.63,1.04,1.1,16.23,11.979227734276657,-0.011,15.04,Healthy
396,Manufacturing,Private,High Risk,,1.4,397,2.68,2.43,12.61,4.05,,0.16,14.31,Healthy
397,Construction,Public,Speculative,No,5.3,176,0.25,1.66,3.45,7.7,-1.6344206174567555,0.183,14.92,Healthy
398,Energy,Private,High Risk,,17.0,96,2.72,0.74,0.02,15.66,6.292736341879682,-0.026,14.56,Watch
399,Technology,Private,Investment Grade,,10.9,225,0.52,0.83,20.82,-7.55,-0.037281017504326996,-0.052,13.91,Healthy
400,Manufacturing,Private,Speculative,,21.4,187,2.57,1.62,5.55,-13.28,-0.7116376317767008,0.076,10.92,Healthy
401,Construction,Public,High Risk,No,1.2,620,3.57,2.18,4.67,-2.03,12.9084812500456,0.301,14.63,Watch
402,Manufacturing,Public,High Risk,No,10.8,78,1.32,2.17,-7.47,-0.24,14.236157359659114,0.203,12.57,Distressed
403,Technology,Private,Investment Grade,,6.0,277,0.92,1.49,2.66,6.15,-3.9543815110708884,0.148,13.45,Healthy
404,Technology,Private,High Risk,,8.1,239,2.49,1.61,7.64,-3.39,2.045552083923848,0.155,13.89,Healthy
405,Energy,Public,Speculative,No,12.7,355,0.85,1.3,-5.03,4.3,9.917778189475635,0.015,15.78,Watch
406,Manufacturing,Private,Investment Grade,,10.0,210,1.86,2.51,5.57,-0.16,4.579212329880975,0.457,14.91,Distressed
407,Manufacturing,Public,Investment Grade,No,14.2,279,0.28,1.22,8.14,8.18,11.783838126926199,0.045,12.15,Healthy
408,Construction,Public,Investment Grade,No,7.6,114,4.8,1.66,4.58,4.85,1.8762839254697132,0.136,11.6,Healthy
409,Manufacturing,Public,Speculative,Yes,14.3,147,2.59,2.03,5.07,-2.49,11.065939201851931,0.225,13.73,Healthy
410,Manufacturing,Private,Investment Grade,,12.4,119,0.68,1.59,0.05,15.18,-1.8689778379699629,0.089,14.5,Healthy
411,Technology,Private,Investment Grade,,9.2,315,1.29,1.21,-0.39,1.49,4.446973173214902,0.035,14.06,Distressed
412,Energy,Public,Investment Grade,No,11.0,101,1.33,1.89,14.74,19.15,14.686762477101082,0.124,14.84,Healthy
413,Energy,Private,High Risk,,8.6,33,0.29,0.75,4.37,9.59,,-0.04,14.04,Watch
414,Manufacturing,Public,Investment Grade,No,12.4,268,0.34,2.58,-3.57,12.98,5.573065172327666,0.301,14.2,Healthy
415,Manufacturing,Private,Speculative,,8.1,400,0.42,2.63,11.28,2.87,-0.4575712628299442,0.222,13.9,Healthy
416,Construction,Private,High Risk,,10.0,218,0.57,2.58,16.6,-1.87,-0.6365309582046264,0.244,13.8,Healthy
417,Manufacturing,Private,Speculative,,22.9,209,0.65,1.88,3.95,-4.18,0.9190749816480475,0.192,16.08,Healthy
418,Energy,Private,Investment Grade,,8.9,186,0.4,2.19,2.71,-3.79,2.099865217569971,0.272,14.23,Healthy
419,Manufacturing,Private,Investment Grade,,23.8,514,0.97,0.72,-1.75,-1.71,19.217503061289904,0.033,15.93,Watch
420,Manufacturing,Private,Speculative,,11.7,13,2.96,2.83,7.02,5.02,22.315126689126455,0.192,13.07,Healthy
421,Technology,Private,High Risk,,7.6,171,1.03,1.17,-3.39,-0.35,13.665664187334839,-0.03,15.0,Watch
422,Retail,Private,Investment Grade,,4.6,387,3.11,2.45,12.43,-21.38,22.14958418518552,0.158,13.07,Healthy
423,Technology,Private,Investment Grade,,3.3,204,1.04,1.67,0.67,1.77,1.6214849789890264,0.094,13.09,Healthy
424,Technology,Public,Investment Grade,No,1.8,314,0.55,1.65,6.85,8.09,14.029824246818807,0.193,14.25,Healthy
425,Construction,Public,Speculative,No,16.7,206,0.59,2.22,-0.23,8.06,-3.2967596729565543,0.184,14.89,Watch
426,Technology,Public,Investment Grade,No,18.9,232,1.73,3.28,3.03,3.32,19.565524635205666,0.34,13.92,Healthy
427,Energy,Private,Investment Grade,,12.1,469,0.72,2.3,6.73,12.27,11.398917016394348,0.236,16.57,Healthy
428,Technology,Public,Speculative,No,10.5,645,1.05,1.79,9.69,7.3,18.16617912246665,0.126,11.49,Healthy
429,Manufacturing,Private,Speculative,,8.8,238,0.61,1.02,1.66,6.98,-3.546137117608424,-0.005,7.96,Healthy
430,Technology,Private,Speculative,,5.8,584,0.98,1.07,6.16,3.44,,0.022,15.35,Healthy
431,Retail,Private,Investment Grade,,14.0,267,1.07,2.29,1.15,14.01,8.4624098570846,0.227,12.8,Watch
432,Retail,Private,Investment Grade,,17.6,359,0.38,1.55,10.14,-4.15,10.29346180444973,0.139,14.77,Healthy
433,Retail,Public,Investment Grade,No,8.4,702,1.76,0.68,7.7,-5.4,,-0.024,17.89,Watch
434,Construction,Private,Speculative,,3.6,588,2.22,0.99,3.48,1.2,0.6687257311408423,0.026,17.82,Distressed
435,Retail,Public,High Risk,No,1.0,209,2.46,0.96,-4.63,12.58,6.149470606676598,0.009,14.83,Watch
436,Construction,Private,Investment Grade,,9.1,398,1.01,1.93,5.14,-3.09,11.744488836434314,0.248,16.39,Healthy
437,Construction,Public,Speculative,Yes,7.8,120,1.65,0.9,10.05,1.55,9.031832819552498,-0.019,13.77,Healthy
438,Retail,Private,High Risk,,16.5,406,0.8,1.71,0.05,1.38,16.523074571890756,0.131,13.1,Healthy
439,Retail,Private,Speculative,,12.0,148,1.06,1.67,3.24,-3.13,3.243215060027635,0.112,17.83,Healthy
440,Technology,Private,Investment Grade,,5.1,184,2.61,1.61,2.56,-2.61,0.3219337605653365,0.187,14.15,Healthy
441,Construction,Private,Investment Grade,,41.8,219,0.28,1.12,0.01,16.34,-1.5109407917022724,-0.012,13.4,Healthy
442,Manufacturing,Public,High Risk,No,37.3,326,1.0,1.02,10.61,-4.65,10.982964153041081,-0.041,14.42,Healthy
443,Energy,Public,Speculative,No,6.9,118,0.85,2.27,-3.27,3.4,6.392832384810837,0.41,12.77,Healthy
444,Manufacturing,Private,Speculative,,9.0,187,0.49,2.29,-2.88,19.58,2.9031757681457555,0.121,12.92,Healthy
445,Construction,Private,Investment Grade,,3.1,137,1.46,2.43,-2.02,12.51,6.9075193513484825,0.188,14.32,Watch
446,Retail,Public,Speculative,No,3.2,638,1.37,0.86,2.44,8.05,14.495272196995282,-0.035,9.51,Watch
447,Retail,Public,Investment Grade,No,6.9,315,0.26,1.37,9.48,0.4,-2.287921256730483,0.066,12.78,Healthy
448,Manufacturing,Private,Investment Grade,,8.8,941,1.62,1.59,-0.23,5.65,-8.062635530988372,-0.04,13.11,Watch
449,Construction,Public,Investment Grade,No,4.6,173,0.99,0.48,7.12,8.3,23.84287210800054,-0.09,13.11,Healthy
450,Manufacturing,Private,Speculative,,8.7,390,2.9,0.64,12.27,-12.21,10.91874284062921,-0.056,13.42,Watch
451,Construction,Private,Investment Grade,,6.3,217,2.11,1.0,9.16,9.79,13.078102058693567,0.038,14.58,Healthy
452,Technology,Private,Investment Grade,,2.7,172,0.24,2.39,-5.05,7.85,,0.26,15.09,Healthy
453,Technology,Private,Investment Grade,,4.0,437,1.47,1.37,2.3,-3.53,10.976301881556882,0.041,13.26,Healthy
454,Retail,Private,Investment Grade,,0.9,310,0.38,1.0,-1.37,10.36,10.973569132961076,-0.041,12.97,Watch
